Name,Brand,Category,Price,Stock,Color,Rating,Warranty_Months
Wireless Mouse,Logitech,Peripherals,29.99,150,Black,4.5,12
Mechanical Keyboard,Keychron,Peripherals,89.99,75,White,4.7,24
USB-C Hub,Anker,Accessories,45.5,200,Gray,4.3,18
Webcam 1080p,Logitech,Peripherals,79.99,120,Black,4.6,12
Noise Cancelling Headphones,Sony,Audio,299.99,45,Black,4.8,24
"Gaming Monitor 27""",Samsung,Monitors,349.99,30,Black,4.4,36
SSD 1TB,Samsung,Storage,89.99,80,Blue,4.9,60
Laptop Stand,Rain Design,Accessories,49.99,95,Silver,4.2,12
Bluetooth Speaker,JBL,Audio,129.99,60,Blue,4.5,12
Smart Watch,Apple,Wearables,399.99,25,Black,4.7,12
Portable Charger,Anker,Accessories,35.99,180,Black,4.6,18
Desk Lamp LED,Philips,Lighting,24.99,110,White,4.1,24
USB Microphone,Blue Yeti,Audio,129.99,40,Silver,4.8,24
Graphics Tablet,Wacom,Peripherals,199.99,55,Black,4.5,24
VR Headset,Meta,VR,499.99,15,White,4.3,12
